,do,temp,ph,cond,chl,alk,turb,nh3,tn,no3,tp,srp
do,0.000,0.000,2.27e-07,0.430,0.347,0.982,0.023,0.808,0.148,2.11e-09,0.256,0.173
temp,0.000,0.000,0.000,0.003,0.091,0.000,0.145,0.021,0.347,2.51e-10,0.733,0.005
ph,0.000,2.22e-14,0.000,0.000,0.000,0.000,0.000,0.177,5.15e-06,2.52e-05,0.132,0.053
cond,0.430,0.003,0.000,0.000,0.000,0.000,0.000,1.27e-10,0.000,0.001,0.000,1.91e-13
chl,0.347,0.091,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.030,0.000,1.98e-13
alk,0.982,7.74e-05,0.000,0.000,0.000,0.000,0.000,3.46e-07,0.000,1.66e-05,0.000,1.4e-12
turb,0.023,0.145,0.000,0.000,0.000,0.000,0.000,8.37e-06,0.000,0.888,0.000,0.000
nh3,0.808,0.021,0.177,0.000,0.001,0.000,8.37e-06,0.000,0.000,5.76e-06,2.96e-08,3.27e-08
tn,0.148,0.347,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000
no3,0.000,2.51e-10,0.000,0.001,0.030,0.000,0.888,5.76e-06,0.001,0.000,0.644,0.016
tp,0.256,0.733,0.132,0.000,0.000,0.000,0.000,2.96e-08,0.000,0.644,0.000,0.000
srp,0.173,0.005,0.053,0.000,1.98e-13,0.000,0.000,3.27e-08,0.000,0.016,0.000,0.000
