"do","temp","ph","cond","chl","alk","turb","nh3","tn","no3","tp","srp"
"do",Inf,-0.251,0.183,0.0274,0.0327,0.000792,0.0794,-0.00845,0.0501,0.208,-0.0394,0.0474
"temp",-0.251,Inf,0.27,0.103,0.0587,0.137,-0.0509,-0.0802,-0.0325,-0.219,-0.0118,-0.0981
"ph",0.183,0.27,Inf,0.485,0.227,0.503,0.124,0.0475,0.16,-0.148,0.0529,0.0684
"cond",0.0274,0.103,0.485,Inf,0.358,0.808,0.346,0.222,0.408,-0.118,0.34,0.255
"chl",0.0327,0.0587,0.227,0.358,Inf,0.351,0.51,0.111,0.45,-0.0752,0.487,0.255
"alk",0.000792,0.137,0.503,0.808,0.351,Inf,0.352,0.176,0.341,-0.149,0.33,0.245
"turb",0.0794,-0.0509,0.124,0.346,0.51,0.352,Inf,0.155,0.451,-0.00489,0.557,0.32
"nh3",-0.00845,-0.0802,0.0475,0.222,0.111,0.176,0.155,Inf,0.287,0.157,0.191,0.192
"tn",0.0501,-0.0325,0.16,0.408,0.45,0.341,0.451,0.287,Inf,0.117,0.521,0.298
"no3",0.208,-0.219,-0.148,-0.118,-0.0752,-0.149,-0.00489,0.157,0.117,Inf,-0.016,0.0836
"tp",-0.0394,-0.0118,0.0529,0.34,0.487,0.33,0.557,0.191,0.521,-0.016,Inf,0.398
"srp",0.0474,-0.0981,0.0684,0.255,0.255,0.245,0.32,0.192,0.298,0.0836,0.398,Inf
