treatment,replicate,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
control,1,-4.97,3.538,-3.358,7.035,-1.015,6.094,-4.733,2.991,4.505,-5.243,6.748,19.204,7.446,-1.976,-0.287,-0.967,-0.878,0
control,2,-15.53,6.936,-14.527,-3.45,10.943,12.606,7.125,-10.876,-4.776,-3.63,-3.274,-1.043,-3.972,1.649,0.068,0.865,-0.495,0
control,3,1.161,0.577,6.194,-0.957,2.619,-3.264,5.949,-5.192,20.98,-3.729,7.005,-2.9,-4.063,6.004,0.833,3.473,1.446,0
control,4,-15.038,-3.504,7.616,-24.304,-6.725,6.767,-5.4,7.718,1.859,3.639,-0.427,-0.554,0.611,-0.441,0.231,0.699,0.427,0
control,5,-5.42,5.673,-1.532,7.791,-2.515,1.595,-5.281,9.639,-5.521,-12.803,9.321,-13.608,2.382,1.031,-1.428,1.243,0.288,0
control,6,-10.462,5.882,1.714,9.756,-5.462,-1.461,8.695,5.037,7.388,2.043,-15.758,-4.119,7.903,-4.997,-1.184,-0.389,-0.198,0
low,1,8.932,-9.092,14.302,2.472,-4.257,8.783,16.832,-1.301,-9.213,3.722,6.397,1.055,3.383,0.571,-2.869,2.189,0.798,0
low,2,1.296,3.531,6.718,6.583,-12.777,2.77,-7.893,-5.303,-3.157,-0.58,-7.553,2.319,-6.31,13.195,-2.648,-4.542,0.474,0
low,3,-6.616,2.414,7.085,2.086,-2.362,-5.076,-9.161,-17.517,-1.507,5.854,5.686,-4.59,5.114,-8.827,0.016,-2.332,1.246,0
low,4,-12.67,0.131,-2.198,-4.676,-0.6,-22.578,8.396,1.445,-7.81,-2.813,2.147,5.885,-2.551,2.464,-0.964,-1.198,-0.04,0
low,5,-6.854,3.724,-0.221,11.234,7.298,0.99,-2.529,9.062,-0.461,17.369,4.935,-0.251,-8.865,0.282,3.993,0.559,-1.058,0
low,6,3.367,-10.04,17.285,1.502,18.34,-1.096,-6.304,1.69,-2.349,-8.106,-8.249,2.241,-3.906,-3.898,-0.924,0.755,-0.458,0
high,1,13.877,6.577,-7.03,-4.678,-1.204,-1.338,-1.257,0.789,2.305,2.444,0.446,-0.547,-4.276,-4.778,-13.747,0.823,-8.151,0
high,2,11.025,5.824,-2.882,-1.364,-7.517,-2.47,-3.168,-2.552,-4.017,-1.449,-4.284,1.961,-0.681,-1.51,9.622,12.825,-2.834,0
high,3,11.099,0.975,-5.956,-4.923,12.073,-3.459,-3.791,0.885,-1.288,6.638,-1.497,-2.485,14.435,10.546,-0.459,-0.189,1.012,0
high,4,-0.102,-34.062,-15.311,3.954,-4.961,-0.224,-2.436,-0.752,2.416,0.149,-0.993,-1.972,-1.036,-0.989,0.563,-0.464,0.04,0
high,5,13.807,7.19,-7.223,-3.139,-1.12,0.174,0.236,2.95,-0.286,-0.203,-1.504,1.509,-4.575,-5.551,-1.467,-1.634,13.834,0
high,6,13.098,3.725,-0.678,-4.923,-0.755,1.187,4.721,1.286,0.931,-3.301,0.855,-2.104,-1.039,-2.776,10.652,-11.715,-5.454,0
